arm,step,val_bce,val_auc,train_bce,params,elapsed_s
P1-raytap-d1,0,0.6902700066566467,0.7317899386135649,nan,11217,0.21950280002783984
P1-raytap-d1,20,0.3267894983291626,0.922306233468084,0.3415983319282532,11217,2.340186099987477
P1-raytap-d1,40,0.1417655199766159,0.9470729151070519,0.14910024404525757,11217,4.520640200003982
P1-raytap-d1,60,0.07147342711687088,0.9616272396067276,0.07598479092121124,11217,6.6399911000044085
P1-raytap-d1,80,0.044249434024095535,0.9698744822079154,0.04372290521860123,11217,8.729602300038096
P1-raytap-d1,100,0.031857118010520935,0.9753892798323103,0.03839424252510071,11217,10.902295300038531
P1-raytap-d1,120,0.025526048615574837,0.9845910066377203,0.02736058086156845,11217,12.97375900001498
P1-raytap-d1,140,0.022039566189050674,0.9900496581324549,0.02211354300379753,11217,15.139431599993259
P1-raytap-d1,160,0.02005341276526451,0.9919835803763039,0.018270930275321007,11217,17.26045780000277
P1-raytap-d1,180,0.01891208626329899,0.9928756799920148,0.015209531411528587,11217,19.4266973999911
P1-raytap-d1,200,0.018144667148590088,0.9933123721115935,0.027457498013973236,11217,21.544540400034748
P2-dense31-d1,0,0.6902700066566467,0.7317899386135649,nan,20393,0.22971740004140884
P2-dense31-d1,20,0.32689404487609863,0.9221377950791037,0.34169816970825195,20393,2.5196895000408404
P2-dense31-d1,40,0.14184144139289856,0.9470105305185407,0.14917835593223572,20393,4.83200360002229
P2-dense31-d1,60,0.07149688154459,0.961502470429705,0.0760100856423378,20393,7.1388192000449635
P2-dense31-d1,80,0.044243477284908295,0.9693878824175276,0.04371781274676323,20393,9.46941370004788
P2-dense31-d1,100,0.031844042241573334,0.9747529570294954,0.038381922990083694,20393,11.756694200041238
P2-dense31-d1,120,0.025516746565699577,0.9833620302440486,0.027351241558790207,20393,14.082661500026006
P2-dense31-d1,140,0.02203640714287758,0.988658481808654,0.022110052406787872,20393,16.39699360000668
P2-dense31-d1,160,0.020055050030350685,0.9910602884663373,0.018272455781698227,20393,18.67852870002389
P2-dense31-d1,180,0.01891675405204296,0.9924265109547338,0.015214457176625729,20393,20.94543890003115
P2-dense31-d1,200,0.018151311203837395,0.992938064580526,0.02746259793639183,20393,23.2554197999998
P3-raytap-d2,0,0.6335862874984741,0.9513088286669661,nan,13973,0.36920590000227094
P3-raytap-d2,20,0.2654518187046051,0.9529807356390677,0.2798866927623749,13973,4.3923371999990195
P3-raytap-d2,40,0.08994157612323761,0.9178519738483805,0.09704980254173279,13973,8.449742099968717
P3-raytap-d2,60,0.033613767474889755,0.9251010630333882,0.038218650966882706,13973,12.5289436999592
P3-raytap-d2,80,0.017972534522414207,0.9293619304287069,0.01648646779358387,13973,16.623720999981742
P3-raytap-d2,100,0.012965163215994835,0.9399797873933223,0.021289817988872528,13973,20.700255699979607
P3-raytap-d2,120,0.011054007336497307,0.9543656735040176,0.013235766440629959,13973,24.820495099993423
P3-raytap-d2,140,0.01016298308968544,0.9684645905075611,0.01012114156037569,13973,28.84406949998811
P3-raytap-d2,160,0.009684148244559765,0.9763125717422768,0.007295998279005289,13973,32.97988890000852
P3-raytap-d2,180,0.009427960962057114,0.9806607775615112,0.004615759011358023,13973,37.08368399995379
P3-raytap-d2,200,0.009253328666090965,0.9828442381594051,0.021150505170226097,13973,41.08517909998773
P4-dense31-d2,0,0.6335862874984741,0.9513088286669661,nan,32325,0.384512199962046
P4-dense31-d2,20,0.2665822207927704,0.9534361431351999,0.2809414267539978,32325,4.893254700000398
P4-dense31-d2,40,0.09205097705125809,0.9181389429555322,0.0991668552160263,32325,9.391117999970447
P4-dense31-d2,60,0.03406675532460213,0.9243212556769975,0.03872478008270264,32325,13.824179599992931
P4-dense31-d2,80,0.017303241416811943,0.9293619304287069,0.015820877626538277,32325,18.325421599962283
P4-dense31-d2,100,0.012117128819227219,0.9401544642411539,0.02063797041773796,32325,22.842873999965377
P4-dense31-d2,120,0.01028475258499384,0.9552952038728353,0.012524116784334183,32325,27.2973256999976
P4-dense31-d2,140,0.00948256440460682,0.9693442132055697,0.009434595704078674,32325,31.76772359997267
P4-dense31-d2,160,0.009065589867532253,0.9771610021460299,0.006597441155463457,32325,36.27330719999736
P4-dense31-d2,180,0.008850287646055222,0.9813657234116884,0.0038805059157311916,32325,40.77560959995026
P4-dense31-d2,200,0.008704234845936298,0.9834743225033687,0.02098499797284603,32325,45.29781299998285
